customer_state,product_category,quantidade_vendida
SP,cama_mesa_banho,4788
RJ,cama_mesa_banho,1512
MG,cama_mesa_banho,1212
RS,cama_mesa_banho,572
PR,esporte_lazer,433
BA,beleza_saude,338
SC,esporte_lazer,324
PE,beleza_saude,229
DF,beleza_saude,228
GO,cama_mesa_banho,213
ES,cama_mesa_banho,208
CE,beleza_saude,156
PA,beleza_saude,106
MT,beleza_saude,87
MA,beleza_saude,84
PB,beleza_saude,78
AL,beleza_saude,63
MS,esporte_lazer,61
RN,beleza_saude,57
PI,beleza_saude,51
SE,beleza_saude,40
TO,beleza_saude,30
RO,beleza_saude,24
AM,telefonia,15
AP,beleza_saude,10
AC,esporte_lazer,9
RR,beleza_saude,6
