ano,customer_state,ticket_medio_estado
2016,PA,320.77
2016,MT,318.02
2016,ES,266.79
2016,CE,251.47
2016,MA,249.71
2016,BA,248.84
2016,SC,248.22
2016,PI,246.09
2016,PE,241.21
2016,RJ,239.42
2016,RN,220.34
2016,DF,200.02
2016,RS,191.63
2016,SP,148.12
2016,MG,141.07
2016,GO,135.90
2016,PR,130.00
2016,SE,115.31
2016,RR,102.63
2016,PB,74.74
2016,AL,64.95
2017,AP,252.81
2017,AL,252.63
2017,PB,243.64
2017,AC,240.69
2017,RO,223.29
2017,PA,218.66
2017,MT,216.35
2017,TO,215.13
2017,SE,211.57
2017,CE,208.48
2017,MS,206.83
2017,PI,199.53
2017,PE,198.55
2017,MA,197.60
2017,RN,190.82
2017,BA,178.60
2017,AM,173.75
2017,GO,171.73
2017,DF,170.56
2017,RJ,169.63
2017,SC,161.31
2017,RS,159.60
2017,MG,157.90
2017,PR,155.85
2017,ES,147.85
2017,SP,144.25
2017,RR,111.48
2018,RR,302.03
2018,PB,284.09
2018,RO,262.34
2018,AC,247.52
2018,PI,235.76
2018,RN,231.52
2018,AP,229.01
2018,PA,228.71
2018,TO,223.68
2018,SE,221.21
2018,AL,218.32
2018,MA,210.82
2018,CE,209.36
2018,AM,204.59
2018,MT,196.71
2018,PE,194.59
2018,BA,185.72
2018,MS,181.83
2018,SC,179.91
2018,GO,175.06
2018,ES,171.33
2018,RS,165.98
2018,PR,165.07
2018,MG,163.68
2018,RJ,163.60
2018,DF,162.28
2018,SP,143.25
